sepal_length,sepal_width,petal_length,petal_width,class
0.51,0.35,0.13999999999999999,0.02,Iris-setosa
0.49000000000000005,0.3,0.13999999999999999,0.02,Iris-setosa
0.47000000000000003,0.32,0.13,0.02,Iris-setosa
0.45999999999999996,0.31,0.15,0.02,Iris-setosa
0.5,0.36,0.13999999999999999,0.02,Iris-setosa
0.54,0.39,0.16999999999999998,0.04,Iris-setosa
0.45999999999999996,0.33999999999999997,0.13999999999999999,0.03,Iris-setosa
0.5,0.33999999999999997,0.15,0.02,Iris-setosa
0.44000000000000006,0.29,0.13999999999999999,0.02,Iris-setosa
0.49000000000000005,0.31,0.15,0.01,Iris-setosa
0.54,0.37,0.15,0.02,Iris-setosa
0.48,0.33999999999999997,0.16,0.02,Iris-setosa
0.48,0.3,0.13999999999999999,0.01,Iris-setosa
0.43,0.3,0.11000000000000001,0.01,Iris-setosa
0.58,0.4,0.12,0.02,Iris-setosa
0.5700000000000001,0.44000000000000006,0.15,0.04,Iris-setosa
0.54,0.39,0.13,0.04,Iris-setosa
0.51,0.35,0.13999999999999999,0.03,Iris-setosa
0.5700000000000001,0.38,0.16999999999999998,0.03,Iris-setosa
0.51,0.38,0.15,0.03,Iris-setosa
0.54,0.33999999999999997,0.16999999999999998,0.02,Iris-setosa
0.51,0.37,0.15,0.04,Iris-setosa
0.45999999999999996,0.36,0.1,0.02,Iris-setosa
0.51,0.32999999999999996,0.16999999999999998,0.05,Iris-setosa
0.48,0.33999999999999997,0.19,0.02,Iris-setosa
0.5,0.3,0.16,0.02,Iris-setosa
0.5,0.33999999999999997,0.16,0.04,Iris-setosa
0.52,0.35,0.15,0.02,Iris-setosa
0.52,0.33999999999999997,0.13999999999999999,0.02,Iris-setosa
0.47000000000000003,0.32,0.16,0.02,Iris-setosa
0.48,0.31,0.16,0.02,Iris-setosa
0.54,0.33999999999999997,0.15,0.04,Iris-setosa
0.52,0.41,0.15,0.01,Iris-setosa
0.55,0.42000000000000004,0.13999999999999999,0.02,Iris-setosa
0.49000000000000005,0.31,0.15,0.01,Iris-setosa
0.5,0.32,0.12,0.02,Iris-setosa
0.55,0.35,0.13,0.02,Iris-setosa
0.49000000000000005,0.31,0.15,0.01,Iris-setosa
0.44000000000000006,0.3,0.13,0.02,Iris-setosa
0.51,0.33999999999999997,0.15,0.02,Iris-setosa
0.5,0.35,0.13,0.03,Iris-setosa
0.45,0.22999999999999998,0.13,0.03,Iris-setosa
0.44000000000000006,0.32,0.13,0.02,Iris-setosa
0.5,0.35,0.16,0.06,Iris-setosa
0.51,0.38,0.19,0.04,Iris-setosa
0.48,0.3,0.13999999999999999,0.03,Iris-setosa
0.51,0.38,0.16,0.02,Iris-setosa
0.45999999999999996,0.32,0.13999999999999999,0.02,Iris-setosa
0.53,0.37,0.15,0.02,Iris-setosa
0.5,0.32999999999999996,0.13999999999999999,0.02,Iris-setosa
0.7,0.32,0.47000000000000003,0.13999999999999999,Iris-versicolor
0.64,0.32,0.45,0.15,Iris-versicolor
0.6900000000000001,0.31,0.49000000000000005,0.15,Iris-versicolor
0.55,0.22999999999999998,0.4,0.13,Iris-versicolor
0.65,0.27999999999999997,0.45999999999999996,0.15,Iris-versicolor
0.5700000000000001,0.27999999999999997,0.45,0.13,Iris-versicolor
0.63,0.32999999999999996,0.47000000000000003,0.16,Iris-versicolor
0.49000000000000005,0.24,0.32999999999999996,0.1,Iris-versicolor
0.6599999999999999,0.29,0.45999999999999996,0.13,Iris-versicolor
0.52,0.27,0.39,0.13999999999999999,Iris-versicolor
0.5,0.2,0.35,0.1,Iris-versicolor
0.5900000000000001,0.3,0.42000000000000004,0.15,Iris-versicolor
0.6,0.22000000000000003,0.4,0.1,Iris-versicolor
0.61,0.29,0.47000000000000003,0.13999999999999999,Iris-versicolor
0.5599999999999999,0.29,0.36,0.13,Iris-versicolor
0.67,0.31,0.44000000000000006,0.13999999999999999,Iris-versicolor
0.5599999999999999,0.3,0.45,0.15,Iris-versicolor
0.58,0.27,0.41,0.1,Iris-versicolor
0.62,0.22000000000000003,0.45,0.15,Iris-versicolor
0.5599999999999999,0.25,0.39,0.11000000000000001,Iris-versicolor
0.5900000000000001,0.32,0.48,0.18,Iris-versicolor
0.61,0.27999999999999997,0.4,0.13,Iris-versicolor
0.63,0.25,0.49000000000000005,0.15,Iris-versicolor
0.61,0.27999999999999997,0.47000000000000003,0.12,Iris-versicolor
0.64,0.29,0.43,0.13,Iris-versicolor
0.6599999999999999,0.3,0.44000000000000006,0.13999999999999999,Iris-versicolor
0.6799999999999999,0.27999999999999997,0.48,0.13999999999999999,Iris-versicolor
0.67,0.3,0.5,0.16999999999999998,Iris-versicolor
0.6,0.29,0.45,0.15,Iris-versicolor
0.5700000000000001,0.26,0.35,0.1,Iris-versicolor
0.55,0.24,0.38,0.11000000000000001,Iris-versicolor
0.55,0.24,0.37,0.1,Iris-versicolor
0.58,0.27,0.39,0.12,Iris-versicolor
0.6,0.27,0.51,0.16,Iris-versicolor
0.54,0.3,0.45,0.15,Iris-versicolor
0.6,0.33999999999999997,0.45,0.16,Iris-versicolor
0.67,0.31,0.47000000000000003,0.15,Iris-versicolor
0.63,0.22999999999999998,0.44000000000000006,0.13,Iris-versicolor
0.5599999999999999,0.3,0.41,0.13,Iris-versicolor
0.55,0.25,0.4,0.13,Iris-versicolor
0.55,0.26,0.44000000000000006,0.12,Iris-versicolor
0.61,0.3,0.45999999999999996,0.13999999999999999,Iris-versicolor
0.58,0.26,0.4,0.12,Iris-versicolor
0.5,0.22999999999999998,0.32999999999999996,0.1,Iris-versicolor
0.5599999999999999,0.27,0.42000000000000004,0.13,Iris-versicolor
0.5700000000000001,0.3,0.42000000000000004,0.12,Iris-versicolor
0.5700000000000001,0.29,0.42000000000000004,0.13,Iris-versicolor
0.62,0.29,0.43,0.13,Iris-versicolor
0.51,0.25,0.3,0.11000000000000001,Iris-versicolor
0.5700000000000001,0.27999999999999997,0.41,0.13,Iris-versicolor
0.63,0.32999999999999996,0.6,0.25,Iris-virginica
0.58,0.27,0.51,0.19,Iris-virginica
0.71,0.3,0.5900000000000001,0.21000000000000002,Iris-virginica
0.63,0.29,0.5599999999999999,0.18,Iris-virginica
0.65,0.3,0.58,0.22000000000000003,Iris-virginica
0.76,0.3,0.6599999999999999,0.21000000000000002,Iris-virginica
0.49000000000000005,0.25,0.45,0.16999999999999998,Iris-virginica
0.73,0.29,0.63,0.18,Iris-virginica
0.67,0.25,0.58,0.18,Iris-virginica
0.72,0.36,0.61,0.25,Iris-virginica
0.65,0.32,0.51,0.2,Iris-virginica
0.64,0.27,0.53,0.19,Iris-virginica
0.6799999999999999,0.3,0.55,0.21000000000000002,Iris-virginica
0.5700000000000001,0.25,0.5,0.2,Iris-virginica
0.58,0.27999999999999997,0.51,0.24,Iris-virginica
0.64,0.32,0.53,0.22999999999999998,Iris-virginica
0.65,0.3,0.55,0.18,Iris-virginica
0.77,0.38,0.67,0.22000000000000003,Iris-virginica
0.77,0.26,0.6900000000000001,0.22999999999999998,Iris-virginica
0.6,0.22000000000000003,0.5,0.15,Iris-virginica
0.6900000000000001,0.32,0.5700000000000001,0.22999999999999998,Iris-virginica
0.5599999999999999,0.27999999999999997,0.49000000000000005,0.2,Iris-virginica
0.77,0.27999999999999997,0.67,0.2,Iris-virginica
0.63,0.27,0.49000000000000005,0.18,Iris-virginica
0.67,0.32999999999999996,0.5700000000000001,0.21000000000000002,Iris-virginica
0.72,0.32,0.6,0.18,Iris-virginica
0.62,0.27999999999999997,0.48,0.18,Iris-virginica
0.61,0.3,0.49000000000000005,0.18,Iris-virginica
0.64,0.27999999999999997,0.5599999999999999,0.21000000000000002,Iris-virginica
0.72,0.3,0.58,0.16,Iris-virginica
0.74,0.27999999999999997,0.61,0.19,Iris-virginica
0.79,0.38,0.64,0.2,Iris-virginica
0.64,0.27999999999999997,0.5599999999999999,0.22000000000000003,Iris-virginica
0.63,0.27999999999999997,0.51,0.15,Iris-virginica
0.61,0.26,0.5599999999999999,0.13999999999999999,Iris-virginica
0.77,0.3,0.61,0.22999999999999998,Iris-virginica
0.63,0.33999999999999997,0.5599999999999999,0.24,Iris-virginica
0.64,0.31,0.55,0.18,Iris-virginica
0.6,0.3,0.48,0.18,Iris-virginica
0.6900000000000001,0.31,0.54,0.21000000000000002,Iris-virginica
0.67,0.31,0.5599999999999999,0.24,Iris-virginica
0.6900000000000001,0.31,0.51,0.22999999999999998,Iris-virginica
0.58,0.27,0.51,0.19,Iris-virginica
0.6799999999999999,0.32,0.5900000000000001,0.22999999999999998,Iris-virginica
0.67,0.32999999999999996,0.5700000000000001,0.25,Iris-virginica
0.67,0.3,0.52,0.22999999999999998,Iris-virginica
0.63,0.25,0.5,0.19,Iris-virginica
0.65,0.3,0.52,0.2,Iris-virginica
0.62,0.33999999999999997,0.54,0.22999999999999998,Iris-virginica
0.5900000000000001,0.3,0.51,0.18,Iris-virginica
